name,gender,award|Mason Durie Medal|0,award|Callaghan Medal|1,award|Humanities Aronui Medal|2,award|MacDiarmid Medal|3,award|Jones Medal|4,award|Dame Joan Metge Medal|5,award|Pou Aronui Award|6,award|Pickering Medal|7,award|Hatherton Award|8,award|R. J. Scott Medal|9,award|Sir Charles Hercus Medal|10,award|Te Rangi Hiroa Medal|11,award|Rutherford Medal|12,award|Charles Fleming Award|13,award|Thompson Medal|14,award|Leonard Cockayne Memorial Lecture|15,award|T. K. Sidey Medal|16,award|Hamilton Memorial Prize|17,award|Hector Medal|18,award|Hutton Medal|19
Alan William Mackney,M,,,,,,,,,,,,,,,1985,,,,,
Timothy George Haskell,M,,,,,,,,,,,,,,,,,,,2007,
Russell Bisset,M,,,,,,,,,2014,,,,,,,,,,,
Jim Flynn,M,,,2011,,,,,,,,,,,,,,,,,
John McKinnon,M,,,,,,,,2007,,,,,,,,,,,,
Kevin Gould,M,,,,,,,,,,,,,,,,2012,,,,
Alastair Scott,M,,,,,2016,,,,,,,,,,,,,,,
Brian Garner Wybourne,M,,,,,,,,,,,,,,,,,,,1970,
Rod Downey,M,,,,,,,,,,,,,,,,,,,2011,
Barbara Holland,F,,,,,,,,,,,,,,,,,,2005,,
John Newton Dodd,M,,,,,,,,,,,,,,,,,,,1976,
Ian Axford,M,,,,,,,,,,,,,1994,,,,,,,
Thomas Hill Easterfield,M,,,,,,,,,,,,,,,,,,,1913,
William Percival Evans,M,,,,,,,,,,,,,,,,,,,1931,
Katerina Te Heikoko Mataira,F,,,,,,,2008,,,,,,,,,,,,,
David Graham Lloyd,M,,,,,,,,,,,,,,,,1992,,,,
Douglas Saxon Coombs,M,,,,,,,,,,,,,,,,,,,1969,
Winston Frank Ponder,M,,,,,,,,,,,,,,,,,,1968,,
Harry Howard Allan,M,,,,,,,,,,,,,,,,,,,1942,1941
John Arthur Bartrum,M,,,,,,,,,,,,,,,,,,,1939,1932
Francis John Turner,M,,,,,,,,,,,,,,,,,,,1951,
George Alexander Knox,M,,,,,,,,,,,,,,,,,,,,1980
Bryce Buddle,M,,,,,,,,,,,,,,,,,,,,2008
Robert Cecil Hayes,M,,,,,,,,,,,,,,,,,,,1975,
Richard Michael Francis Stuart Sadleir,M,,,,,,,,,,,,,,,1996,,,,,
Jonathan Mane-Wheoki,M,,,,,,,2012,,,,,,,,,,,,,
Kenneth McNatty,M,,,,,,,,2009,,,,,,,,,,,,
David Vere-Jones,M,,,,,2014,,,,,,,,1999,,,,,,,
Anthony Ewart,M,,,,,,,,,,,,,,,,,,1966,,
Howard Barraclough Fell,M,,,,,,,,,,,,,,,,,,,1959,1962
Henry Eamonn Connor,M,,,,,,,,,,,,,,,,,,,,2000
William Robinson,M,,,,,,,,,,,,,1998,,,,,,,
Christopher E. Williams,M,,,,,,,,,,,,,,,,,,1995,,
Campbell Stuart Wemyss Reid,M,,,,,,,,,,,,,,,,,,,1977,
Arthur William Baden Powell,M,,,,,,,,,,,,,,,,,,,1947,
Warren Richard Roper,M,,,,,,,,,,,,,,,,,,,1991,
Peter Noel Webb,M,,,,,,,,,,,,,,,,,,1962,,
Rodney Graham Downey,M,,,,,,,,,,,,,,,,,,1990,,
Walter Reginald Brook Oliver,M,,,,,,,,,,,,,,,,,,,1936,1950
John Reader Hosking,M,,,,,,,,,,,,,,,,,,,1937,
Lancelot Eric Richdale,M,,,,,,,,,,,,,,,,,,,1953,
Tony Ballantyne,M,,,2016,,,,,,,,,,,,,,,,,
Robert Dudley Jolly,M,,,,,,,,,,,,,,,,,,,1995,
John Talbot Boys,M,,,,,,,,2005,,1998,,,,,,,,,,
Mark Rupert Sutherland,M,,,,,,,,,,,,,,,,,,1997,,
Raymond Robert Forster,M,,,,,,,,,,,,,,,,,,,1983,1971
Guohua Wu,M,,,,,,,,,2003,,,,,,,,,,,
Duncan M'Laren Young Sommerville,M,,,,,,,,,,,,,,,,,,,1928,
David Baddeley,M,,,,,,,,,,,,,,,,,,2010,,
Margaret A. Brimble,F,,,,2012,,,,,,,,,2012,,,,,1992,2012,
Henry Devenish Skinner,M,,,,,,,,,,,,,,,,,,,1926,
Alison Jones,F,,,,,,2014,,,,,,,,,,,,,,
James Wharehuia Milroy,M,,,,,,,2006,,,,,,,,,,,,,
Greta Regina Aroha Yates-Smith,F,,,,,,,,,,,,2003,,,,,,,,
Josu Arrillaga,M,,,,,,,,,,2003,,,,,,,,,,
William Raymond Philipson,M,,,,,,,,,,,,,,,,,,,,1977
Peter David Gluckman,M,,2011,,,,,,,,,1998,,2001,,,,,,,
Charles Alexander Fleming,M,,,,,,,,,,,,,,,,,,1943,1963,1956
Charles Alexander Semple,M,,,,,,,,,1998,,,,,,,,,2003,,
Kathryn Lee Garden,F,,,,,,,,,,,,,,,,,,1989,,
Kevin C. O'Meara,M,,,,,,,,,,,,,,,,,,1975,,
Diana Lennon,F,,,,,,2008,,,,,,,,,,,,,,
John Lawrence Craig,M,,,,,,,,,,,,,,2001,,,,,,
Herbert Dudley Purves,M,,,,,,,,,,,,,,,,,,,1974,
